Date,A,AA
2011-01-03,29.237769820929,15.120193416781001
2011-01-04,28.965498325461997,15.809214888938
2011-01-05,28.902666441892,15.847493859613
2011-01-06,28.958517005064998,15.656099006236
2011-01-07,29.056255490616998,15.71351746225
2011-01-10,29.475134714413,15.780505660931
2011-01-11,29.977789782967,15.62738977823
2011-01-12,30.110434870503003,15.54126209421
2011-01-13,29.998733744157,15.072344703436999
2011-01-14,30.201192035658003,15.282879042151
2011-01-18,30.962155958887,15.569971322216999
2011-01-19,29.621742442741,15.369006726171
2011-01-20,29.524003957189002,15.292448784820001
2011-01-21,29.39834019005,15.110623674112
2011-01-24,29.859107336224998,15.723087204918
2011-01-25,29.803256773053004,15.54126209421
2011-01-26,29.719480928294,15.885772830289
2011-01-27,29.635705083534003,15.761366175594
2011-01-28,28.609450985235,15.435994924853
2011-01-31,29.202863218946,15.857063602282
2011-02-01,29.356452267671,16.574794302446
2011-02-02,28.78398399515,16.498236361095
2011-02-03,28.616432305632,16.498236361095
2011-02-04,30.012696384949997,16.431131390422
2011-02-07,31.024987842456003,16.603687029295003
2011-02-08,30.836492191748,16.68037842435
2011-02-09,30.319874482400998,16.450304239186
2011-02-10,30.717809745005997,16.411958541659
2011-02-11,31.429904425459,16.651619151204
2011-02-14,31.269334056336998,16.862520487604
2011-02-15,29.775331491465998,16.68037842435
2011-02-16,30.417612967953,16.862520487604
2011-02-17,30.661959181834,16.795415516931
2011-02-18,30.661959181834,16.565341331768
2011-02-22,29.663630365121,15.855945927514
2011-02-23,28.239441004215998,15.760081683696
2011-02-24,28.728133431977,15.865532351896
2011-02-25,29.572873199965,15.990155868859
2011-02-28,29.377396228861,16.15312508335
2011-03-01,28.400011373338,15.558766771678
2011-03-02,28.944554364271998,15.510834649769
2011-03-03,29.894013938207998,15.942223746949999
2011-03-04,32.637672854069,15.894291625041001
2011-03-07,32.023316659169005,15.577939620441
2011-03-08,32.093129863135,15.808013805604999
2011-03-09,32.148980426308,15.625871742349998
2011-03-10,31.332165939906,15.14655052326
2011-03-11,31.65330667815,15.367038284042001
2011-03-14,31.30424065832,15.453316103478
2011-03-15,30.592145977868,15.376624708423
2011-03-16,29.551929238775,15.012340581915
2011-03-17,29.635705083534003,15.347865435278
2011-03-18,29.977789782967,15.443729679096
2011-03-21,30.682903143023,15.865532351896
2011-03-22,30.152322792882,15.769668108078001
2011-03-23,30.487426171918997,16.248989327168
2011-03-24,30.654977861437,16.402372117277
2011-03-25,30.745735026593,16.383199268513
2011-03-28,30.68988446342,16.526995634241
2011-03-29,31.108763687215,16.766656243786
2011-03-30,31.478773668235,16.910452609512998
2011-03-31,31.262352735940002,16.929625458277
2011-04-01,31.513680270218,16.747483395021998
2011-04-04,31.297259337923002,16.833761214458
2011-04-05,31.65330667815,17.303496009167
2011-04-06,31.618400076167003,17.380187404222
2011-04-07,31.325184619509997,17.37060097984
2011-04-08,31.339147260303,17.178872492204
2011-04-11,31.408960464269,17.035076126476
2011-04-12,31.374053862286,16.009328717623
2011-04-13,32.525971727724,15.865532351896
2011-04-14,32.55389700931,15.865532351896
2011-04-15,33.161271883814,15.83677307875
2011-04-18,32.518990407326996,15.46290252786
2011-04-19,32.630691533673,15.760081683696
2011-04-20,33.957142409025,15.951810171332
2011-04-21,34.445834836787,16.268162175931998
2011-04-25,33.636001670782,16.191470780876998
2011-04-26,34.487722759166004,16.325680722223
2011-04-27,34.927545944151,16.46947708795
2011-04-28,35.130004235653,16.383199268513
2011-04-29,34.843770099391996,16.296921449077
2011-05-02,35.213780080412,16.507822785477
2011-05-03,35.325481206757004,16.939211882658
2011-05-04,34.557535963132,16.747483395021998
2011-05-05,34.327152390045,16.306507873459
2011-05-06,34.718106332254,16.440717814804
2011-05-09,34.822826138203,16.805001941312998
2011-05-10,35.374350449533,16.795415516931
2011-05-11,34.927545944151,16.344853570986
2011-05-12,35.136985556049,16.46947708795
2011-05-13,36.707782645282,16.421461119763
2011-05-16,36.526268314971,16.248603634292
2011-05-17,35.723416469362995,15.797253533339
2011-05-18,36.114370411572,16.027730180634002
2011-05-19,35.716435148966,16.00852379336
2011-05-20,35.395294410723,15.614792854231
2011-05-23,34.278283147268,15.345903432386999
2011-05-24,33.992049011008,15.470744949672
2011-05-25,34.222432584096,15.682015209691999
2011-05-26,34.48074143877,15.720427984240999
2011-05-27,34.627349167098,15.826063114251001
2011-05-31,34.815844817806,16.142968504282
2011-06-01,33.510337903643,15.451538562397001
2011-06-02,33.636001670782,15.557173692407
2011-06-03,33.112402641037,15.288284270562999
2011-06-06,32.854093786364004,14.990585267806999
2011-06-07,33.300898291745,15.067410816906
2011-06-08,33.328823573332,14.798521395061
2011-06-09,34.006011651800996,14.884950137797
2011-06-10,33.642982991178,14.673679877777
2011-06-13,33.182215845003,14.500822392306
2011-06-14,34.187525982113,14.798521395061
